Unnamed: 0,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,zscore
149,Hyundai Creta SX Executive,12.75,17000.0,1,1,2,2021.0,1497.0,5.0,1.507396675865202
150,Volkswagen Ameo 1.5 TDI Highline AT,6.9,33000.0,0,0,1,2016.0,1498.0,5.0,0.1806170248158852
151,Volkswagen Polo GT TSI,6.75,49000.0,1,0,1,2015.0,1197.0,5.0,0.1465970337633386
152,Hyundai Grand i10 AT Asta,5.65,26000.0,1,0,1,2015.0,1197.0,5.0,-0.1028829006220029
153,Hyundai Venue SX Opt iMT,10.0,14500.0,1,1,1,2020.0,998.0,5.0,0.883696839901848
154,Kia Seltos GTX Plus AT D,19.75,10000.0,0,0,1,2022.0,1493.0,5.0,3.094996258317376
155,MG Hector Plus Sharp DCT,17.0,15001.0,1,0,1,2020.0,1451.0,6.0,2.4712964223540217
156,Skoda Octavia Elegance 1.8 TSI AT,9.75,55000.0,1,0,2,2015.0,1798.0,5.0,0.8269968548142703
157,Toyota Corolla Altis G,6.5,38000.0,1,1,1,2013.0,1798.0,5.0,0.0898970486757609
158,Ford Endeavour 4x4 XLT,4.0,110000.0,0,1,2,2005.0,2953.0,7.0,-0.4771028022000155
159,Honda Amaze S AT i-Vtech,4.75,65413.0,1,0,1,2013.0,1198.0,5.0,-0.3070028469372826
160,Honda Jazz Mode,2.8,45000.0,1,1,2,2009.0,1198.0,5.0,-0.7492627306203883
161,Ford Figo 1.2P Trend MT,4.3,44000.0,1,1,1,2017.0,1196.0,5.0,-0.4090628200949224
162,Hyundai Grand i10 1.2 Kappa Magna BSIV,4.9,40000.0,1,1,1,2017.0,1197.0,5.0,-0.2729828558847359
163,Ford Ecosport 1.5 Petrol Titanium AT,6.51,49000.0,1,0,1,2016.0,1496.0,5.0,0.092165048079264
164,Mahindra Thar LX 4-Str Hard Top Diesel AT,17.51,19000.0,0,0,1,2022.0,2184.0,4.0,2.586964391932681
165,Hyundai i20 Magna Optional 1.4 CRDi,3.91,56000.0,0,1,2,2013.0,1396.0,5.0,-0.4975147968315434
167,Toyota Etios G,4.9,27680.0,1,1,1,2013.0,1496.0,5.0,-0.2729828558847359
168,Kia Seltos GTX Plus AT D,18.25,27305.0,0,0,1,2021.0,1493.0,5.0,2.75479634779191
171,MG Hector Sharp DCT,14.99,44000.0,1,0,1,2019.0,1451.0,5.0,2.015428542249898
172,Kia Seltos HTK G,11.99,63000.0,1,1,1,2020.0,1497.0,5.0,1.335028721198966
173,Hyundai i20 Sportz Plus Diesel,6.5,87000.0,0,1,1,2019.0,1396.0,5.0,0.0898970486757609
174,Maruti Alto LXi,1.9,61000.0,1,1,1,2010.0,796.0,5.0,-0.9533826769356678
175,Hyundai i20 Sportz Option 1.4 CRDi,6.25,72000.0,0,1,1,2016.0,1396.0,5.0,0.0331970635881833
176,Audi A4 2.0 TDI Multitronic,16.51,70000.0,0,0,1,2015.0,1968.0,5.0,2.36016445158237
177,Nissan Micra Diesel XV,2.25,58000.0,0,1,2,2012.0,1461.0,5.0,-0.8740026978130591
178,Honda Jazz Active,1.3,90000.0,1,1,3,2009.0,1198.0,5.0,-1.089462641145854
179,Honda City VX MT,12.5,19000.0,1,1,1,2022.0,1497.0,5.0,1.4506966907776244
180,Toyota Corolla Altis G AT,9.25,72159.0,1,0,1,2014.0,1798.0,5.0,0.7135968846391151
181,Ford Ecosport 1.5 DV5 MT Titanium,5.9,78000.0,0,1,1,2015.0,1498.0,5.0,-0.0461829155344253
182,Ford Ecosport 1.5 Diesel Titanium BSIV,6.9,58000.0,0,1,1,2018.0,1498.0,5.0,0.1806170248158852
183,Ford Ecosport 1.5 Diesel Titanium Plus BSIV,8.9,72000.0,0,1,1,2018.0,1498.0,5.0,0.6342169055165064
185,Nissan Micra Diesel XV,2.9,73000.0,0,1,1,2012.0,1461.0,5.0,-0.7265827365853572
186,Hyundai Creta 1.6 VTVT S,8.9,28840.0,1,1,1,2016.0,1591.0,5.0,0.6342169055165064
187,Maruti Swift Dzire AMT ZXI,6.9,51500.0,1,0,1,2019.0,1197.0,5.0,0.1806170248158852
188,Maruti S-Presso VXI Plus AT 2019-2022,4.8,41370.0,1,0,1,2020.0,998.0,5.0,-0.2956628499197671
189,Hyundai Creta 1.6 VTVT S,8.75,41266.0,1,1,1,2016.0,1591.0,5.0,0.6001969144639597
190,Hyundai Verna VTVT 1.6 AT SX Option,9.9,31740.0,1,0,1,2018.0,1591.0,5.0,0.861016845866817
191,Maruti Ciaz VXi Plus,6.15,77876.0,1,1,1,2015.0,1373.0,5.0,0.0105170695531523
192,Skoda Kushaq 1.5 TSI Style,20.5,9500.0,1,1,1,2022.0,1498.0,5.0,3.265096213580109
193,Hyundai Grand i10 1.2 Kappa Sportz Option AT,6.25,28387.0,1,0,1,2019.0,1197.0,5.0,0.0331970635881833
195,Hyundai Grand i10 Magna,4.5,20000.0,1,1,2,2017.0,1197.0,5.0,-0.3637028320248602
197,Tata Indica eV2 DL BSIII,1.0,120000.0,0,1,2,2013.0,1396.0,5.0,-1.157502623250947
198,Mahindra Bolero Power Plus SLE,6.0,184000.0,0,1,2,2018.0,1493.0,7.0,-0.0235029214993943
